tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,100188872,0,live,CELIAC10,,"Celiac disease, susceptibility to, 10",,3q25-q26,3,,,,,,612008
9606,Homo sapiens,100188871,0,live,CELIAC9,,"Celiac disease, susceptibility to, 9",,3p21,3,,,,,,612007
9606,Homo sapiens,100188870,0,live,CELIAC8,,"Celiac disease, susceptibility to, 8",,2q11-q12,2,,,,,,612006
9606,Homo sapiens,100188846,0,live,CELIAC6,AIS5,"Celiac disease, susceptibility to, 6",,4q27,4,,,,,,611598
9606,Homo sapiens,920,0,live,CD4,CD4mut,CD4 molecule,T-cell surface glycoprotein CD4|CD4 antigen (p55)|CD4 receptor|T-cell surface antigen T4/Leu-3,12p13.31,12,NC_000012.12,6789528,6820799,plus,11,186940
9606,Homo sapiens,3662,0,live,IRF4,"LSIRF, MUM1, NF-EM5, SHEP8",interferon regulatory factor 4,interferon regulatory factor 4|lymphocyte-specific interferon regulatory factor|multiple myeloma oncogene 1,6p25.3,6,NC_000006.12,391752,411443,plus,10,601900
9606,Homo sapiens,6647,0,live,SOD1,"ALS, ALS1, HEL-S-44, IPOA, SOD, STAHP, hSod1, homodimer",superoxide dismutase 1,"superoxide dismutase [Cu-Zn]|Cu/Zn superoxide dismutase|SOD, soluble|epididymis secretory protein Li 44|indophenoloxidase A|superoxide dismutase 1, soluble|superoxide dismutase, cystolic",21q22.11,21,NC_000021.9,31659693,31668931,plus,5,147450
9606,Homo sapiens,51311,0,live,TLR8,CD288,toll like receptor 8,toll-like receptor 8,Xp22.2,X,NC_000023.11,12906620,12923169,plus,3,300366
9606,Homo sapiens,5054,0,live,SERPINE1,"PAI, PAI-1, PAI1, PLANH1",serpin family E member 1,"plasminogen activator inhibitor 1|endothelial plasminogen activator inhibitor|serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1|serpin E1|serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",7q22.1,7,NC_000007.14,101127104,101139247,plus,9,173360
9606,Homo sapiens,4547,0,live,MTTP,"ABL, MTP",microsomal triglyceride transfer protein,"microsomal triglyceride transfer protein large subunit|microsomal triglyceride transfer protein (large polypeptide, 88kDa)",4q23,4,NC_000004.12,99564130,99623997,plus,19,157147
9606,Homo sapiens,5444,0,live,PON1,"ESA, MVCD5, PON",paraoxonase 1,serum paraoxonase/arylesterase 1|A-esterase 1|K-45|PON 1|aromatic esterase 1|arylesterase 1|arylesterase B-type|esterase A|paraoxonase B-type|serum aryldiakylphosphatase|serum aryldialkylphosphatase 1,7q21.3,7,NC_000007.14,95297676,95324532,minus,9,168820
9606,Homo sapiens,29851,0,live,ICOS,"AILIM, CD278, CVID1",inducible T cell costimulator,inducible T-cell costimulator|activation-inducible lymphocyte immunomediatory molecule|inducible T-cell co-stimulator|inducible costimulator,2q33.2,2,NC_000002.12,203936763,203961577,plus,5,604558
9606,Homo sapiens,3383,0,live,ICAM1,"BB2, CD54, P3.58",intercellular adhesion molecule 1,"intercellular adhesion molecule 1|ICAM-1|cell surface glycoprotein P3.58|epididymis secretory sperm binding protein|intercellular adhesion molecule 1 (CD54), human rhinovirus receptor|major group rhinovirus receptor",19p13.2,19,NC_000019.10,10271120,10286615,plus,7,147840
9606,Homo sapiens,355,0,live,FAS,"ALPS1A, APO-1, APT1, CD951, FASTM, TNFRSF6, FAS",Fas cell surface death receptor,"tumor necrosis factor receptor superfamily member 6|APO-1 cell surface antigen|CD95 antigen|FASLG receptor|Fas (TNF receptor superfamily, member 6)|Fas AMA|TNF receptor superfamily member 6|apoptosis antigen 1|apoptosis signaling receptor FAS|apoptosis-mediating surface antigen FAS|mutant tumor necrosis receptor superfamily member 6|tumor necrosis factor receptor superfamily, member 6",10q23.31,10,NC_000010.11,88968429,89017059,plus,15,134637
9606,Homo sapiens,3428,0,live,IFI16,"IFNGIP1, PYHIN2",interferon gamma inducible protein 16,gamma-interferon-inducible protein 16|interferon-gamma induced protein IFI 16|interferon-inducible myeloid differentiation transcriptional activator,1q23.1,1,NC_000001.11,158999976,159055151,plus,15,147586
9606,Homo sapiens,960,0,live,CD44,"CDW44, CSPG8, ECMR-III, HCELL, HUTCH-I, IN, LHR, MC56, MDU2, MDU3, MIC4, Pgp1",CD44 molecule (Indian blood group),CD44 antigen|GP90 lymphocyte homing/adhesion receptor|Hermes antigen|Indian blood group antigen|cell surface glycoprotein CD44|chondroitin sulfate proteoglycan 8|epican|extracellular matrix receptor III|hematopoietic cell E- and L-selectin ligand|heparan sulfate proteoglycan|homing function and Indian blood group system|hyaluronate receptor|phagocytic glycoprotein 1|soluble CD44,11p13,11,NC_000011.10,35139168,35232402,plus,21,107269
9606,Homo sapiens,4153,0,live,MBL2,"COLEC1, HSMBPC, MBLD, MBP, MBP-C, MBP1, MBPD, MBL2",mannose binding lectin 2,"mannose-binding protein C|collectin-1|mannan-binding lectin|mannose-binding lectin (protein C) 2, soluble (opsonic defect)|mannose-binding lectin 2, soluble (opsonic defect)",10q21.1,10,NC_000010.11,52765380,52772784,minus,5,154545
9606,Homo sapiens,3146,0,live,HMGB1,"HMG-1, HMG1, HMG3, SBP-1",high mobility group box 1,high mobility group protein B1|Amphoterin|Sulfoglucuronyl carbohydrate binding protein|high-mobility group (nonhistone chromosomal) protein 1,13q12.3,13,NC_000013.11,30456704,30617597,minus,9,163905
9606,Homo sapiens,3077,0,live,HFE,"HFE1, HH, HLA-H, MVCD7, TFQTL2",homeostatic iron regulator,hereditary hemochromatosis protein|MHC class I-like protein HFE|hereditary hemochromatosis protein HLA-H|high Fe,6p22.2,6,NC_000006.12,26087347,26098343,plus,7,613609
9606,Homo sapiens,3600,0,live,IL15,IL-15,interleukin 15,interleukin-15,4q31.21,4,NC_000004.12,141636583,141733987,plus,10,600554
9606,Homo sapiens,51738,0,live,GHRL,MTLRP,ghrelin and obestatin prepropeptide,"appetite-regulating hormone|In2c-preproghrelin|ghrelin, growth hormone secretagogue receptor ligand|ghrelin/obestatin preprohormone|ghrelin/obestatin prepropeptide|growth hormone-releasing peptide|motilin-related peptide|prepro-appetite regulatory hormone|preproghrelin",3p25.3,3,NC_000003.12,10285666,10292947,minus,7,605353
9606,Homo sapiens,6696,0,live,SPP1,"BNSP, BSPI, ETA-1, OPN",secreted phosphoprotein 1,"osteopontin|SPP1/CALPHA1 fusion|early T-lymphocyte activation 1|nephropontin|osteopontin/immunoglobulin alpha 1 heavy chain constant region fusion protein|secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)|secreted phosphoprotein 1 variant 6|urinary stone protein|uropontin",4q22.1,4,NC_000004.12,87975714,87983411,plus,8,166490
9606,Homo sapiens,5966,0,live,REL,C-Rel,"REL proto-oncogene, NF-kB subunit","proto-oncogene c-Rel|oncogene REL, avian reticuloendotheliosis|v-rel avian reticuloendotheliosis viral oncogene homolog",2p16.1,2,NC_000002.12,60881521,60931612,plus,12,164910
9606,Homo sapiens,3606,0,live,IL18,"IGIF, IL-18, IL-1g, IL1F4",interleukin 18,interleukin-18|IFN-gamma-inducing factor|IL-1 gamma|iboctadekin|interleukin 18 (interferon-gamma-inducing factor)|interleukin-1 gamma,11q23.1,11,NC_000011.10,112143251,112164104,minus,6,600953
9606,Homo sapiens,7185,0,live,TRAF1,"EBI6, MGC:10353",TNF receptor associated factor 1,TNF receptor-associated factor 1|Epstein-Bar virus-induced protein 6,9q33.2,9,NC_000009.12,120902393,120929171,minus,10,601711
9606,Homo sapiens,3135,0,live,HLA-G,MHC-G,"major histocompatibility complex, class I, G","HLA class I histocompatibility antigen, alpha chain G|HLA G antigen|HLA-G histocompatibility antigen, class I, G|MHC class I antigen G|MHC class Ib antigen|b2 microglobulin|mutant MHC class I antigen|mutant MHC class Ib antigen",6p22.1,6,NC_000006.12,29826474,29831130,plus,10,142871
9606,Homo sapiens,100507436,0,live,MICA,"MIC-A, PERB11.1",MHC class I polypeptide-related sequence A,MHC class I polypeptide-related sequence A|HLA class I antigen|MHC class I chain-related protein A|MHC class I related chain A|MHC class I related sequence A|major histocompatibility complex class I chain-related protein A|stress inducible class I homolog|truncated MHC class I polypeptide-related sequence A|truncated MICA,6p21.33,6,NC_000006.12,31400711,31415315,plus,7,600169
9606,Homo sapiens,6772,0,live,STAT1,"CANDF7, IMD31A, IMD31B, IMD31C, ISGF-3, STAT91",signal transducer and activator of transcription 1,"signal transducer and activator of transcription 1-alpha/beta|signal transducer and activator of transcription 1, 91kD|signal transducer and activator of transcription 1, 91kDa|transcription factor ISGF-3 components p91/p84",2q32.2,2,NC_000002.12,190968989,191014197,minus,26,600555
9606,Homo sapiens,142,0,live,PARP1,"ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PPOL, pADPRT-1",poly(ADP-ribose) polymerase 1,"poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|DNA ADP-ribosyltransferase PARP1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1|protein poly-ADP-ribosyltransferase PARP1",1q42.12,1,NC_000001.11,226360691,226408093,minus,23,173870
9606,Homo sapiens,3604,0,live,TNFRSF9,"4-1BB, CD137, CDw137, ILA",TNF receptor superfamily member 9,"tumor necrosis factor receptor superfamily member 9|4-1BB ligand receptor|CD137 antigen|T cell antigen ILA|T-cell antigen 4-1BB homolog|homolog of mouse 4-1BB|induced by lymphocyte activation (ILA)|interleukin-activated receptor, homolog of mouse Ly63|receptor protein 4-1BB",1p36.23,1,NC_000001.11,7915871,7941607,minus,9,602250
9606,Homo sapiens,4282,0,live,MIF,"GIF, GLIF, MMIF",macrophage migration inhibitory factor,macrophage migration inhibitory factor|L-dopachrome isomerase|L-dopachrome tautomerase|epididymis secretory sperm binding protein|macrophage migration inhibitory factor (glycosylation-inhibiting factor)|phenylpyruvate tautomerase,22q11.23,22,NC_000022.11,23894383,23895223,plus,3,153620
9606,Homo sapiens,79068,0,live,FTO,"ALKBH9, BMIQ14, GDFD",FTO alpha-ketoglutarate dependent dioxygenase,alpha-ketoglutarate-dependent dioxygenase FTO|AlkB homolog 9|U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO|U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO|fat mass and obesity associated|fat mass and obesity-associated protein|m6A(m)-demethylase FTO|mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO|mRNA N(6)-methyladenosine demethylase FTO|tRNA N1-methyl adenine demethylase FTO,16q12.2,16,NC_000016.10,53703963,54121941,plus,16,610966
9606,Homo sapiens,929,0,live,CD14,,CD14 molecule,monocyte differentiation antigen CD14|myeloid cell-specific leucine-rich glycoprotein,5q31.3,5,NC_000005.10,140631732,140633701,minus,3,158120
9606,Homo sapiens,8764,0,live,TNFRSF14,"ATAR, CD270, HVEA, HVEM, LIGHTR, TR2",TNF receptor superfamily member 14,"tumor necrosis factor receptor superfamily member 14|CD40-like protein|herpes virus entry mediator A|tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)|tumor necrosis factor receptor-like gene2",1p36.32,1,NC_000001.11,2556371,2563829,plus,8,602746
9606,Homo sapiens,387,0,live,RHOA,"ARH12, ARHA, EDFAOB, RHO12, RHOH12",ras homolog family member A,transforming protein RhoA|Aplysia ras-related homolog 12|epididymis secretory sperm binding protein|oncogene RHO H12|small GTP binding protein RhoA,3p21.31,3,NC_000003.12,49359145,49411976,minus,7,165390
9606,Homo sapiens,3107,0,live,HLA-C,"D6S204, HLA-JY3, HLAC, HLC-C, MHC, PSORS1","major histocompatibility complex, class I, C","HLA class I histocompatibility antigen, C alpha chain|HLA-C antigen|MHC class I antigen heavy chain HLA-C|human leukocyte antigen-C alpha chain|major histocompatibility antigen HLA-C",6p21.33,6,NC_000006.12,31268749,31272092,minus,8,142840
9606,Homo sapiens,26191,0,live,PTPN22,"LYP, LYP1, LYP2, PEP.5, PTPN22.6, PTPN8, PTPN22",protein tyrosine phosphatase non-receptor type 22,"tyrosine-protein phosphatase non-receptor type 22|PEST-domain phosphatase|hematopoietic cell protein-tyrosine phosphatase 70Z-PEP|lymphoid-specific protein tyrosine phosphatase|protein tyrosine phosphatase, non-receptor type 22 (lymphoid)|protein tyrosine phosphatase, non-receptor type 8",1p13.2,1,NC_000001.11,113813811,113871761,minus,24,600716
9606,Homo sapiens,1233,0,live,CCR4,"CC-CKR-4, CD194, CKR4, CMKBR4, ChemR13, HGCN:14099, K5-5",C-C motif chemokine receptor 4,C-C chemokine receptor type 4|C-C CKR-4|CCR-4|chemokine (C-C motif) receptor 4|chemokine (C-C) receptor 4,3p22.3,3,NC_000003.12,32951555,32956349,plus,2,604836
9606,Homo sapiens,9241,0,live,NOG,"SYM1, SYNS1, SYNS1A",noggin,noggin|symphalangism 1 (proximal),17q22,17,NC_000017.11,56593699,56595611,plus,1,602991
9606,Homo sapiens,196,0,live,AHR,"RP85, bHLHe76",aryl hydrocarbon receptor,aryl hydrocarbon receptor|AH-receptor|ah receptor|aromatic hydrocarbon receptor|class E basic helix-loop-helix protein 76,7p21.1,7,NC_000007.14,17298652,17346147,plus,11,600253
9606,Homo sapiens,54106,0,live,TLR9,CD289,toll like receptor 9,toll-like receptor 9,3p21.2,3,NC_000003.12,52221080,52225645,minus,2,605474
9606,Homo sapiens,56729,0,live,RETN,"ADSF, FIZZ31, RSTN, XCP1, RETN",resistin,resistin|C/EBP-epsilon regulated myeloid-specific secreted cysteine-rich protein precursor 1|adipose tissue-specific secretory factor|c/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein|cysteine-rich secreted protein A12-alpha-like 2|cysteine-rich secreted protein FIZZ3|found in inflammatory zone 3|resistin delta2,19p13.2,19,NC_000019.10,7669049,7670455,plus,4,605565
9606,Homo sapiens,2212,0,live,FCGR2A,"CD32, CD32A, CDw32, FCG2, FCGR21, FcGR, IGFR2, FCGR2A",Fc fragment of IgG receptor IIa,"low affinity immunoglobulin gamma Fc region receptor II-a|Fc fragment of IgG, low affinity IIa, receptor (CD32)|Fc gamma receptor RIIa3|Immunoglobulin G Fc receptor II|fc-gamma-RIIa|fcRII-a|igG Fc receptor II-a",1q23.3,1,NC_000001.11,161505430,161524048,plus,12,146790
9606,Homo sapiens,9622,0,live,KLK4,"AI2A1, ARM1, EMSP, EMSP1, KLK-L1, PRSS17, PSTS, kallikrein",kallikrein related peptidase 4,kallikrein-4|androgen-regulated message 1|enamel matrix serine protease 1|enamel matrix serine proteinase 1|kallikrein-like protein 1|prostase|serine protease 17,19q13.41,19,NC_000019.10,50906351,50910745,minus,6,603767
9606,Homo sapiens,3627,0,live,CXCL10,"C7, IFI10, INP10, IP-10, SCYB10, crg-2, gIP-10, mob-1",C-X-C motif chemokine ligand 10,"C-X-C motif chemokine 10|10 kDa interferon gamma-induced protein|gamma IP10|interferon-inducible cytokine IP-10|protein 10 from interferon (gamma)-induced cell line|small inducible cytokine subfamily B (Cys-X-Cys), member 10|small-inducible cytokine B10",4q21.1,4,NC_000004.12,76021118,76023497,minus,4,147310
9606,Homo sapiens,1656,0,live,DDX6,"HLR2, IDDILF, P54, RCK, Rck/p54",DEAD-box helicase 6,"probable ATP-dependent RNA helicase DDX6|ATP-dependent RNA helicase p54|DEAD (Asp-Glu-Ala-Asp) box helicase 6|DEAD (Asp-Glu-Ala-Asp) box polypeptide 6|DEAD box protein 6|DEAD box-6|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 6 (RNA helicase, 54kD)|oncogene RCK",11q23.3,11,NC_000011.10,118747763,118791696,minus,16,600326
9606,Homo sapiens,150962,0,live,PUS10,"CCDC139, DOBI, Hup10",pseudouridine synthase 10,tRNA pseudouridine synthase Pus10|coiled-coil domain containing 139|coiled-coil domain-containing protein 139|pseudouridylate synthase 10|psi55 synthase|putative tRNA pseudouridine synthase Pus10|tRNA pseudouridine 55 synthase|tRNA pseudouridylate synthase|tRNA-uridine isomerase,2p16.1-p15,2,NC_000002.12,60940218,61019693,minus,25,612787
9606,Homo sapiens,1387,0,live,CREBBP,"CBP, KAT3A, MKHK1, RSTS, RSTS1",CREB binding protein,CREB-binding protein|histone lysine acetyltransferase CREBBP|protein-lysine acetyltransferase CREBBP,16p13.3,16,NC_000016.10,3725054,3880727,minus,33,600140
9606,Homo sapiens,1803,0,live,DPP4,"ADABP, ADCP2, CD26, DPPIV, TP103",dipeptidyl peptidase 4,"dipeptidyl peptidase 4|ADCP-2|DPP IV|Gly-Pro naphthylamidase|Post-proline dipeptidyl aminopeptidase IV|T-cell activation antigen CD26|Xaa-Pro-dipeptidylaminopeptidase|adenosine deaminase complexing protein 2|dipeptidyl peptidase IV|dipeptidylpeptidase 4|dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2)",2q24.2,2,NC_000002.12,161992245,162074215,minus,28,102720
9606,Homo sapiens,1490,0,live,CCN2,"CTGF, HCS24, IGFBP8, NOV2",cellular communication network factor 2,CCN family member 2|IBP-8|IGF-binding protein 8|IGFBP-8|connective tissue growth factor|hypertrophic chondrocyte-specific protein 24|insulin-like growth factor-binding protein 8,6q23.2,6,NC_000006.12,131948176,131951372,minus,5,121009
9606,Homo sapiens,3593,0,live,IL12B,"CLMF, CLMF2, IL-12B, IMD28, IMD29, NKSF, NKSF2",interleukin 12B,"interleukin-12 subunit beta|CLMF p40|IL-12 subunit p40|IL12, subunit p40|NK cell stimulatory factor chain 2|cytotoxic lymphocyte maturation factor 40 kDa subunit|interleukin 12, p40|interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)|interleukin-12 beta chain|natural killer cell stimulatory factor, 40 kD subunit",5q33.3,5,NC_000005.10,159314780,159330487,minus,8,161561
9606,Homo sapiens,154215,0,live,NKAIN2,"FAM77B, NKAIP2, TCBA, TCBA1",sodium/potassium transporting ATPase interacting 2,sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2|Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein 2|Na+/K+ transporting ATPase interacting 2|T-cell lymphoma breakpoint-associated target protein 1,6q22.31,6,NC_000006.12,123803842,124825652,plus,11,609758
9606,Homo sapiens,10803,0,live,CCR9,"CC-CKR-9, CDw199, GPR-9-6, GPR28",C-C motif chemokine receptor 9,C-C chemokine receptor type 9|G protein-coupled receptor 28|chemokine (C-C motif) receptor 9,3p21.31,3,NC_000003.12,45886064,45903174,plus,6,604738
9606,Homo sapiens,1268,0,live,CNR1,"CANN6, CB-R, CB1, CB1A, CB1K5, CB1R, CNR",cannabinoid receptor 1,cannabinoid receptor 1|cannabinoid receptor 1 (brain)|central cannabinoid receptor,6q15,6,NC_000006.12,88139864,88167349,minus,8,114610
9606,Homo sapiens,3240,0,live,HP,"BP2ALPHA2, HPA1S, HP",haptoglobin,"haptoglobin|binding peptide|haptoglobin alpha(1S)-beta|haptoglobin alpha(2FS)-beta|haptoglobin, alpha polypeptide|haptoglobin, beta polypeptide|zonulin",16q22.2,16,NC_000016.10,72054505,72061055,plus,7,140100
9606,Homo sapiens,5580,0,live,PRKCD,"ALPS3, CVID9, MAY1, PKCD, nPKC-delta",protein kinase C delta,protein kinase C delta type|protein kinase C delta VIII|tyrosine-protein kinase PRKCD,3p21.1,3,NC_000003.12,53161209,53192717,plus,22,176977
9606,Homo sapiens,3559,0,live,IL2RA,"CD25, IDDM10, IL2R, IMD41, TCGFR, p55",interleukin 2 receptor subunit alpha,"interleukin-2 receptor subunit alpha|IL-2 receptor subunit alpha|IL-2R subunit alpha|TAC antigen|interleukin 2 receptor, alpha",10p15.1,10,NC_000010.11,6010689,6062367,minus,8,147730
9606,Homo sapiens,5806,0,live,PTX3,"TNFAIP5, TSG-14",pentraxin 3,pentraxin-related protein PTX3|TNF alpha-induced protein 5|long pentraxin 3|tumor necrosis factor alpha-induced protein 5|tumor necrosis factor-inducible gene 14 protein|tumor necrosis factor-inducible protein TSG-14,3q25.32,3,NC_000003.12,157436850,157443633,plus,3,602492
9606,Homo sapiens,149233,0,live,IL23R,,interleukin 23 receptor,interleukin-23 receptor|IL-23 receptor,1p31.3,1,NC_000001.11,67138639,67259979,plus,13,607562
9606,Homo sapiens,6285,0,live,S100B,"NEF, S100, S100-B, S100beta",S100 calcium binding protein B,"protein S100-B|S-100 calcium-binding protein, beta chain|S-100 protein subunit beta|S100 calcium-binding protein, beta (neural)",21q22.3,21,NC_000021.9,46598604,46605243,minus,3,176990
9606,Homo sapiens,6280,0,live,S100A9,"60B8AG, CAGB, CFAG, CGLB, L1AG, LIAG, MAC387, MIF, MRP14, NIF, P14",S100 calcium binding protein A9,protein S100-A9|MRP-14|calgranulin B|calprotectin L1H subunit|leukocyte L1 complex heavy chain|migration inhibitory factor-related protein 14,1q21.3,1,NC_000001.11,153357854,153361023,plus,3,123886
9606,Homo sapiens,3817,0,live,KLK2,"KLK2A2, hGK-1, hK2",kallikrein related peptidase 2,"kallikrein-2|glandular kallikrein 2|glandular kallikrein-1|kallikrein 2, prostatic|tissue kallikrein-2",19q13.33,19,NC_000019.10,50873439,50880567,plus,5,147960
9606,Homo sapiens,2688,0,live,GH1,"GH, GH-N, GHB5, GHN, IGHD1A, IGHD1B, IGHD2, hGH-N",growth hormone 1,somatotropin|growth hormone B5|pituitary growth hormone,17q23.3,17,NC_000017.11,63917203,63918839,minus,5,139250
9606,Homo sapiens,85480,0,live,TSLP,,thymic stromal lymphopoietin,thymic stromal lymphopoietin,5q22.1,5,NC_000005.10,111070062,111078026,plus,6,607003
9606,Homo sapiens,23274,0,live,CLEC16A,"Gop-1, KIAA0350",C-type lectin domain containing 16A,protein CLEC16A|C-type lectin domain family 16 member A,16p13.13,16,NC_000016.10,10944539,11193272,plus,35,611303
9606,Homo sapiens,23308,0,live,ICOSLG,"B7-H2, B7H2, B7RP-1, B7RP1, B7h, CD275, GL50, ICOS-L, ICOSL, LICOS",inducible T cell costimulator ligand,ICOS ligand|B7 homolog 2|B7 homologue 2|B7-like protein Gl50|B7-related protein 1|transmembrane protein B7-H2 ICOS ligand,21q22.3,21,NC_000021.9,44216979,44240943,minus,9,605717
9606,Homo sapiens,2214,0,live,FCGR3A,"CD16, CD16A, FCG3, FCGR3, FCGRIII, FCR-10, FCRIII, FCRIIIA, IGFR3, IMD20",Fc fragment of IgG receptor IIIa,"low affinity immunoglobulin gamma Fc region receptor III-A|CD16a antigen|Fc fragment of IgG, low affinity III, receptor for (CD16)|Fc fragment of IgG, low affinity IIIa, receptor (CD16a)|Fc gamma receptor III-A|Fc-gamma RIII-alpha|Fc-gamma receptor III-2 (CD 16)|Fc-gamma receptor IIIb (CD16)|FcgammaRIIIA|igG Fc receptor III-2|immunoglobulin G Fc receptor III|low affinity immunoglobulin gamma receptor III-a Fc fragment|neutrophil-specific antigen NA",1q23.3,1,NC_000001.11,161541759,161550737,minus,7,146740
9606,Homo sapiens,3115,0,live,HLA-DPB1,"DPB1, HLA-DP, HLA-DP1B, HLA-DPB","major histocompatibility complex, class II, DP beta 1","HLA class II histocompatibility antigen, DP beta 1 chain|HLA class II histocompatibility antigen, DP(W4) beta chain|HLA-DP histocompatibility type, beta-1 subunit|MHC HLA DPB1|MHC class II HLA-DP-beta-1|MHC class II antigen DPB1",6p21.32,6,NC_000006.12,33075990,33089696,plus,6,142858
9606,Homo sapiens,6401,0,live,SELE,"CD62E, ELAM, ELAM1, ESEL, LECAM2",selectin E,E-selectin|CD62 antigen-like family member E|ELAM-1|endothelial adhesion molecule 1|endothelial leukocyte adhesion molecule 1|leukocyte endothelial cell adhesion molecule 2,1q24.2,1,NC_000001.11,169722640,169734079,minus,14,131210
9606,Homo sapiens,30835,0,live,CD209,"CDSIGN, CLEC4L, DC-SIGN, DC-SIGN1",CD209 molecule,CD209 antigen|C-type lectin domain family 4 member L|HIV gpl20-binding protein|dendritic cell-specific ICAM-3-grabbing non-integrin 1|dendritic cell-specific intercellular adhesion molecule-3-grabbing non-integrin|dendritic cell-specific intracellular adhesion molecules (ICAM)-3 grabbing non-integrin,19p13.2,19,NC_000019.10,7739993,7747534,minus,6,604672
9606,Homo sapiens,3767,0,live,KCNJ11,"BIR, HHF2, IKATP, KIR6.2, MODY13, PHHI, PNDM2, TNDM3",potassium inwardly rectifying channel subfamily J member 11,"ATP-sensitive inward rectifier potassium channel 11|beta-cell inward rectifier subunit|inward rectifier K(+) channel Kir6.2|inwardly rectifing potassium channel subfamily J member 11|inwardly rectifying potassium channel KIR6.2|inwardly-rectifying potassium channel subfamily J member 11|potassium channel inwardly rectifing subfamily J member 11|potassium channel, inwardly rectifying subfamily J member 11|potassium voltage-gated channel subfamily J member 11",11p15.1,11,NC_000011.10,17385246,17389346,minus,4,600937
9606,Homo sapiens,3570,0,live,IL6R,"CD126, HIES5, IL-6R-1, IL-6RA, IL6Q, IL6QTLA, IL6RQ, gp80, IL6R",interleukin 6 receptor,interleukin-6 receptor subunit alpha|CD126 antigen|IL-6 receptor subunit alpha|membrane glycoprotein 80,1q21.3,1,NC_000001.11,154405343,154469450,plus,14,147880
9606,Homo sapiens,7037,0,live,TFRC,"CD71, IMD46, T9, TFR, TFR1, TR, TRFR, p90",transferrin receptor,transferrin receptor protein 1,3q29,3,NC_000003.12,196018694,196082123,minus,24,190010
9606,Homo sapiens,5796,0,live,PTPRK,R-PTP-kappa,protein tyrosine phosphatase receptor type K,"receptor-type tyrosine-protein phosphatase kappa|dJ480J14.2.1 (protein tyrosine phosphatase, receptor type, K (R-PTP-KAPPA, protein tyrosine phosphatase kappa , protein tyrosine phosphatase kappa|protein-tyrosine phosphatase kappa|protein-tyrosine phosphatase, receptor type, kappa",6q22.33,6,NC_000006.12,127968785,128520603,minus,40,602545
9606,Homo sapiens,3659,0,live,IRF1,"IRF-1, MAR",interferon regulatory factor 1,interferon regulatory factor 1,5q31.1,5,NC_000005.10,132481609,132490789,minus,10,147575
9606,Homo sapiens,2876,0,live,GPX1,"GPXD, GSHPX1",glutathione peroxidase 1,glutathione peroxidase 1|GSHPx-1|cellular glutathione peroxidase|selenoprotein GPX1,3p21.31,3,NC_000003.12,49357176,49358353,minus,2,138320
9606,Homo sapiens,7473,0,live,WNT3,"INT4, TETAMS",Wnt family member 3,"proto-oncogene Wnt-3|WNT-3 proto-oncogene protein|proto-oncogene Int-4 homolog|wingless-type MMTV integration site family, member 3",17q21.31-q21.32,17,NC_000017.11,46762506,46818692,minus,5,165330
9606,Homo sapiens,2833,0,live,CXCR3,"CD182, CD183, CKR-L2, CMKAR3, GPR9, IP10-R, Mig-R, MigR",C-X-C motif chemokine receptor 3,C-X-C chemokine receptor type 3|G protein-coupled receptor 9|IP-10 receptor|Mig receptor|chemokine (C-X-C motif) receptor 3|chemokine receptor 3|interferon-inducible protein 10 receptor,Xq13.1,X,NC_000023.11,71615913,71618515,minus,4,300574
9606,Homo sapiens,7295,0,live,TXN,"TRDX, TRX, TRX1",thioredoxin,thioredoxin|ADF|ATL-derived factor|SASP|TXN delta 3|surface-associated sulphydryl protein|testicular tissue protein Li 199|thioredoxin delta 3,9q31.3,9,NC_000009.12,110243810,110256507,minus,5,187700
